tx_hash,time,value_btc,n_inputs,n_outputs,fee_btc,from,to,is_error
0x2f93d6b1a8347733e3b864502483f4e41f1eebd3ad54694d11dbf208ae2df12e,2025-12-05 13:13:35,0.0,1,1,3.81391287956e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0
0xad68582da737233398577d49197b120138da4ef69ea0b9bb563476022c634e00,2025-11-29 13:12:11,0.0,1,1,3.317270159034e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x1645f535e5185ba7e0f992c45ea4633b96b9e98f,0
0xb1d70770c1e5d720a2a2c134a54be9fd3ca39e5561bf47569987ba812904fe42,2025-11-29 13:04:47,0.0,1,1,1.2257784e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0
0xffd579ab5100a55c28987668e223921501c16fcb488a1c24d0fa0f757db65253,2025-11-29 13:04:35,0.0,1,1,2.93171371623e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x7588f301518cd2dc46cdcf2d3bbc47f2ca7c89c7,0
0x7977ed4b1f10ad4192ca3442b3719d982050a233638ec9e69fea71c79e4be6a2,2025-11-29 05:29:59,1e-05,1,1,4.300376584798e-05,0x9aaf0879a190c4b7b9470b212e5702241f72bf26,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0xc7c20efede93a835ac38807cec87252a7f111fe0a96c57abfd13543e00d34b2e,2025-11-26 06:32:11,0.0001,1,1,4.33845575407e-05,0xb356374a30190dfb684b7d09d95814cbf35c6a49,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0x5d604bb2fb044d4fb8e726c774e20667ec8471404709d96bafb6f0b2203eaf64,2025-11-20 08:44:35,0.001075970273870029,1,1,1.1199278388448e-05,0x2638a49d0abca0cb91d05b2e4065932b5d15086d,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0xcece7d28c7f98f149f2c717562ce6b63f27470a6f8597431bcedba0665286e83,2025-10-23 19:18:35,0.000277689513345,1,1,3.394432187282e-06,0x1acde18bf8d7d936fff64a10497c9aaf8565ad96,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0x3b72f21505cebb98aa3a110e282ece8e4b01c3af8c829aafd06d6cbed8a1b4c2,2025-10-19 14:07:35,6.66e-06,1,1,3.42673021667e-05,0x3ed3a49fb01fa9ca2a11c8a3afba12f53ca7c744,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0xd57a5c6187a8a1854aabe2eda452ca3677405e114fc026ead02f9b482edb92ba,2025-10-10 02:17:59,0.0,1,1,3.9285772232163e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0xa31edfcbc1f71904ba362c43fc90a6284f44a94c9d61cad960e6cd252254509a,2025-09-28 01:42:23,0.0,1,1,0.000108940352208045,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0x580eeb6eb12de9a629ee2500ec903aa7c2bc6b4d51b4e993df7b0ecae92cee39,2025-09-04 19:58:35,0.0001,1,1,3.891479193e-06,0x23f4569002a5a07f0ecf688142eeb6bcd883eef8,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0x1b3e00be6bc311876571cda1ad405e03911f9737a0858f26507f8b1dc28ff3e9,2025-08-29 14:35:35,0.0,1,1,2.0520745692e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x236d53148f83706c3d670064809577385f923a75,0
0x8cf1734b75cfda8249e0a063dd317089e2683197b33426492c342e118ed1b29c,2025-08-29 14:27:11,0.0,1,1,2.0300321274272e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x348b7f3106b5da47405332534d06069ff9ce4d1b,0
0x9d3002a6fb9f5f64b3b2ef0ba996f76b9c738060306085819b766f1bc31acc92,2025-08-25 13:00:23,1e-07,1,1,2.8332435936e-05,0xd9cf79ea1cf225c607cf9ea8e72f6a08ad227d1c,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0x7f35b01f9e992ead31e973fa7416cc416ed9c7ced2d0c05e2cc4039c7b1ede16,2025-08-25 00:50:11,3.0246337086e-05,1,1,4.385418765e-06,0x4f62d2abbbf38a1546938bd4bb7d70708e2692ba,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
0xc039152da7656aae258296f3a663ef2d13ae03185ca41ab9723681063feb81ef,2025-08-07 14:43:23,0.0,1,1,1.366650931464e-05,0x053e6294400a9268e35df445624f58087c7f388f,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0
